"senderDFSP","senderName","senderAccountName","senderID","senderRoleType","senderUUID","receiverDFSP","receiverName","receiverAccountName","receiverID","receiverRoleType","receiverUUID"
"dfsp1","cust170713-1-1-1","PT-cust170713-1-1-1","83021023","customer","4a047b22-4eaf-4d61-901f-07dda3ecdcdf","dfsp2","cust170713-1-1-2","PT-cust170713-1-1-2","23244613","customer","2a2200a1-342a-4c40-ad6b-020bf01c4b40"
"dfsp2","cust170713-1-1-2","PT-cust170713-1-1-2","23244613","customer","230583ed-c690-47de-9a11-efcd5d1033c5","dfsp1","cust170713-1-1-1","PT-cust170713-1-1-1","83021023","customer","07fe9397-1939-44f6-bb91-c62cd613ac92"
"dfsp1","cust170713-1-2-1","PT-cust170713-1-2-1","29406037","customer","a4d012e1-1966-4c37-b856-89c7def6e1b3","dfsp2","cust170713-1-2-2","PT-cust170713-1-2-2","80611483","customer","14135c60-788b-4c31-b13e-8fd222b9068b"
"dfsp2","cust170713-1-2-2","PT-cust170713-1-2-2","80611483","customer","69888133-8fbe-4fc7-b6a8-d3ad679f7235","dfsp1","cust170713-1-2-1","PT-cust170713-1-2-1","29406037","customer","e37cb762-5733-4a14-8dcb-c6233b5bcd6e"
"dfsp1","cust170713-1-3-1","PT-cust170713-1-3-1","40620104","customer","11182efa-f188-4755-bbfb-81fba239cfa3","dfsp2","cust170713-1-3-2","PT-cust170713-1-3-2","81142217","customer","b927b444-9962-4822-8ef8-3bde7831d77a"
"dfsp2","cust170713-1-3-2","PT-cust170713-1-3-2","81142217","customer","e9eb0a2e-9312-42a9-b3e9-7a738282a84d","dfsp1","cust170713-1-3-1","PT-cust170713-1-3-1","40620104","customer","22964938-8cad-4b2f-9e2d-09fcf90ba622"
"dfsp1","cust170713-1-4-1","PT-cust170713-1-4-1","20340772","customer","2b85886e-9f2f-4c0b-95bc-0ab0c79abcab","dfsp2","cust170713-1-4-2","PT-cust170713-1-4-2","35399553","customer","99ea7810-c1b1-477a-8498-029eb347e34f"
"dfsp2","cust170713-1-4-2","PT-cust170713-1-4-2","35399553","customer","581835c8-c352-4213-9410-9d24f92fdd28","dfsp1","cust170713-1-4-1","PT-cust170713-1-4-1","20340772","customer","9c55dabf-06fd-4170-8e82-636561aef4cd"
"dfsp1","cust170713-1-5-1","PT-cust170713-1-5-1","30608455","customer","5cd4bbbc-8980-4915-91ae-308390b16e25","dfsp2","cust170713-1-5-2","PT-cust170713-1-5-2","40051584","customer","e8958393-5f75-4d7b-9f69-02c0d3c69be4"
"dfsp2","cust170713-1-5-2","PT-cust170713-1-5-2","40051584","customer","2a9591a8-9110-490e-a3c7-b216bebeb247","dfsp1","cust170713-1-5-1","PT-cust170713-1-5-1","30608455","customer","51024a29-3c4b-43c2-b453-b8bbf3f1a654"
"dfsp1","cust170713-1-6-1","PT-cust170713-1-6-1","59161315","customer","7d7aa350-ed34-4cfa-b248-bb011d056204","dfsp2","cust170713-1-6-2","PT-cust170713-1-6-2","20876903","customer","2ae92521-1849-46e7-9dd0-69bd2fbccf7b"
"dfsp2","cust170713-1-6-2","PT-cust170713-1-6-2","20876903","customer","c888282f-7987-4db7-ad5f-e84d92c93c8a","dfsp1","cust170713-1-6-1","PT-cust170713-1-6-1","59161315","customer","73297279-f1d3-4f34-a1ba-9116c3e0b58f"
"dfsp1","cust170713-1-7-1","PT-cust170713-1-7-1","90456141","customer","b22b7467-b5ed-4e2b-b07f-36341d21adec","dfsp2","cust170713-1-7-2","PT-cust170713-1-7-2","64203658","customer","83064d27-bbf0-475c-97d5-0d200ad2379e"
"dfsp2","cust170713-1-7-2","PT-cust170713-1-7-2","64203658","customer","2edbbba5-f6c0-4941-9fac-b4d6af30a04c","dfsp1","cust170713-1-7-1","PT-cust170713-1-7-1","90456141","customer","7964269b-a437-40b9-9d98-286ce62e927b"
"dfsp1","cust170713-1-8-1","PT-cust170713-1-8-1","11572795","customer","5342d0d3-00a5-462c-b393-a5dbcbc2a6ea","dfsp2","cust170713-1-8-2","PT-cust170713-1-8-2","84053782","customer","b6607e2d-4e3b-4011-ab17-1e39af9e75b8"
"dfsp2","cust170713-1-8-2","PT-cust170713-1-8-2","84053782","customer","ccc68a30-eab6-45c6-be39-929f75c5de55","dfsp1","cust170713-1-8-1","PT-cust170713-1-8-1","11572795","customer","b33a9815-d7f2-41f0-ab71-90ecc673490d"
