senderDFSP,senderName,senderAccountName,senderID,senderRoleType,senderUUID,receiverDFSP,receiverName,receiverAccountName,receiverID,receiverRoleType,receiverUUID
dfsp1,cust170630-4-1-1,PT-cust170630-4-1-1,84076982,customer,9fb526e5-70d8-4912-bdd1-d4af490655c4,dfsp2,cust170630-4-1-2,PT-cust170630-4-1-2,69459658,customer,c059ea0d-f590-4d69-98ff-c372543d43fe
dfsp1,cust170630-4-2-1,PT-cust170630-4-2-1,41747932,customer,ad0a32b3-527c-475d-9df4-421b89e5b2f2,dfsp2,cust170630-4-2-2,PT-cust170630-4-2-2,98930161,customer,9585d34c-82b0-4b7d-a890-46f70d2ee647
dfsp1,cust170630-4-3-1,PT-cust170630-4-3-1,48893356,customer,580b4e97-eb87-4ec5-957b-1f82ec26830a,dfsp2,cust170630-4-3-2,PT-cust170630-4-3-2,49432051,customer,10117973-7a65-4a24-859f-406af5f7638f
dfsp1,cust170630-4-4-1,PT-cust170630-4-4-1,28809966,customer,3ce67397-690b-4009-90c6-bc1da0080d9b,dfsp2,cust170630-4-4-2,PT-cust170630-4-4-2,5665988,customer,5eeb9eb6-87eb-4fd3-9e40-f1b4e8e09a1d
dfsp1,cust170630-4-5-1,PT-cust170630-4-5-1,98939531,customer,c7f66e4c-3dad-4b86-adab-059cff40b8ea,dfsp2,cust170630-4-5-2,PT-cust170630-4-5-2,61844347,customer,7f733762-281a-4946-acde-d31ee4da44e1
dfsp1,cust170630-4-6-1,PT-cust170630-4-6-1,80372701,customer,459103d7-b8bf-48c1-ae6f-ea9ae85dfde9,dfsp2,cust170630-4-6-2,PT-cust170630-4-6-2,45314811,customer,2f7749f9-01ad-4bdf-b2e1-571b88c83b73
dfsp1,cust170630-4-7-1,PT-cust170630-4-7-1,22250703,customer,263dc1d2-16f3-4fd1-98e8-754dde7f5ece,dfsp2,cust170630-4-7-2,PT-cust170630-4-7-2,69542255,customer,a73e1279-8319-436b-9f8b-e2d774dbab3b
dfsp1,cust170630-4-8-1,PT-cust170630-4-8-1,70324520,customer,04a39297-21cb-4f48-9dfe-90caa45ef1a3,dfsp2,cust170630-4-8-2,PT-cust170630-4-8-2,86753643,customer,3b8a4c94-d4e3-421c-812c-61d754fa8ac6
dfsp1,cust170630-4-9-1,PT-cust170630-4-9-1,34778864,customer,72a4fe54-7107-4e39-8bd4-4fd68e826dc0,dfsp2,cust170630-4-9-2,PT-cust170630-4-9-2,93089569,customer,504a4c66-e35f-4646-aacc-ddaf61b7d25f
dfsp1,cust170630-4-10-1,PT-cust170630-4-10-1,1828242,customer,084bc4e3-3d29-46cb-9e8f-f292206d8c4b,dfsp2,cust170630-4-10-2,PT-cust170630-4-10-2,52056685,customer,79691980-aa45-4678-8088-9c1ed6190b75
dfsp1,cust170630-4-11-1,PT-cust170630-4-11-1,75980932,customer,968c9d67-60f9-48b8-89c0-bd99899a0b6c,dfsp2,cust170630-4-11-2,PT-cust170630-4-11-2,39301434,customer,a9b82719-08de-46bd-975e-6f736cc12ad4
dfsp1,cust170630-4-12-1,PT-cust170630-4-12-1,42286615,customer,61ed4af8-c61c-4412-b0e7-322a0c6168dd,dfsp2,cust170630-4-12-2,PT-cust170630-4-12-2,92769721,customer,d082f430-f84b-4f6b-a870-5391fb8bcd3e
dfsp1,cust170630-4-13-1,PT-cust170630-4-13-1,82569397,customer,4f1ba5df-64a1-449a-93b7-0f932fc083b9,dfsp2,cust170630-4-13-2,PT-cust170630-4-13-2,22347960,customer,2c6888e0-1f5e-4ea4-abfc-44f5054f517f
dfsp1,cust170630-4-14-1,PT-cust170630-4-14-1,15988248,customer,1c6bff94-b333-469f-8e3e-8b88d328938b,dfsp2,cust170630-4-14-2,PT-cust170630-4-14-2,9324818,customer,5344cd57-b09b-433d-9250-d1f21e031758
dfsp1,cust170630-4-15-1,PT-cust170630-4-15-1,78753477,customer,131244c5-6fe5-49bc-a93f-c6e39be00110,dfsp2,cust170630-4-15-2,PT-cust170630-4-15-2,53530436,customer,e0d6c391-b784-42f3-9a8c-cfe6d7b0f46e
dfsp1,cust170630-4-16-1,PT-cust170630-4-16-1,36089216,customer,6a7c08be-e760-46af-9e30-1c11c417acfd,dfsp2,cust170630-4-16-2,PT-cust170630-4-16-2,3240720,customer,f7f3251a-b23a-4a1c-9e06-f262ac9ad189
dfsp1,cust170630-4-17-1,PT-cust170630-4-17-1,52996651,customer,1da45f1f-2dbf-4018-89c5-66c235032d26,dfsp2,cust170630-4-17-2,PT-cust170630-4-17-2,4931550,customer,6dae8b1b-ed44-4cc6-a88f-496a44c5a1b9
dfsp1,cust170630-4-18-1,PT-cust170630-4-18-1,79939277,customer,1f1456b6-3054-4f5b-8cb3-8825f9141b0f,dfsp2,cust170630-4-18-2,PT-cust170630-4-18-2,19847177,customer,34ec446f-7fb8-4e1a-ae7d-e9342d9fcfc8
dfsp1,cust170630-4-19-1,PT-cust170630-4-19-1,34007053,customer,964c2ebc-6112-4327-ad8e-a960ca808a93,dfsp2,cust170630-4-19-2,PT-cust170630-4-19-2,43160771,customer,bfa06eb9-ef3a-4e3f-9595-c83af2993bd3
dfsp1,cust170630-4-20-1,PT-cust170630-4-20-1,46995856,customer,d689c548-caf7-4e1d-b3e5-bcaf7b072532,dfsp2,cust170630-4-20-2,PT-cust170630-4-20-2,98108671,customer,e0066615-d0f9-45f2-b68b-c4d8cb2ee9be
dfsp1,cust170630-4-21-1,PT-cust170630-4-21-1,3991536,customer,66d1d50b-fb35-41ef-aff7-7a2d315e2a12,dfsp2,cust170630-4-21-2,PT-cust170630-4-21-2,13719505,customer,f7cc9851-d376-4643-92df-6954f1e66f40
dfsp1,cust170630-4-22-1,PT-cust170630-4-22-1,59204448,customer,2d47f661-8ec8-4cb8-972e-22befbf954d2,dfsp2,cust170630-4-22-2,PT-cust170630-4-22-2,67919403,customer,757aa771-31d7-443b-bd89-56bf9cda9609
dfsp1,cust170630-4-23-1,PT-cust170630-4-23-1,20546456,customer,4becd1f2-050f-4b92-90a5-8dcdb635c662,dfsp2,cust170630-4-23-2,PT-cust170630-4-23-2,36933989,customer,46200463-b0e9-437e-885e-2e7342c3d18d
dfsp1,cust170630-4-24-1,PT-cust170630-4-24-1,87931910,customer,9a1372bd-6e08-45a5-b16b-3524ebefc3d7,dfsp2,cust170630-4-24-2,PT-cust170630-4-24-2,29241037,customer,db027385-f346-4b97-b974-6cdc5d019563
dfsp1,cust170630-4-25-1,PT-cust170630-4-25-1,17335513,customer,c4e254ec-27a3-44ba-a6ed-4a684b7b126a,dfsp2,cust170630-4-25-2,PT-cust170630-4-25-2,61577106,customer,f1b408c7-0d4f-46e8-a441-3a2401904923
dfsp1,cust170630-4-26-1,PT-cust170630-4-26-1,35726359,customer,5efa3ef3-b5a2-4737-91c1-596668ca7e56,dfsp2,cust170630-4-26-2,PT-cust170630-4-26-2,7987661,customer,f8c73dbd-8798-4a77-abb1-87e009f0821d
dfsp1,cust170630-4-27-1,PT-cust170630-4-27-1,94955219,customer,87bae200-f09c-47a9-ab5e-e3b3b6e50a52,dfsp2,cust170630-4-27-2,PT-cust170630-4-27-2,53816491,customer,1010958f-88a0-4e74-b179-5eb77788576b
dfsp1,cust170630-4-28-1,PT-cust170630-4-28-1,81627535,customer,7c26ff07-207d-44b8-a30d-618e8a7bd838,dfsp2,cust170630-4-28-2,PT-cust170630-4-28-2,67544572,customer,053c7ff7-925c-497c-9c01-6809994db9a0
dfsp1,cust170630-4-29-1,PT-cust170630-4-29-1,47596272,customer,5525b794-6d7f-4ea8-ad59-5dbcf5ab99ff,dfsp2,cust170630-4-29-2,PT-cust170630-4-29-2,65380902,customer,f2f941a9-2680-4cc9-ad6b-d6de90d4f0f3
dfsp1,cust170630-4-30-1,PT-cust170630-4-30-1,11549927,customer,1e4cc0e3-5e69-40df-8d71-f9334839f348,dfsp2,cust170630-4-30-2,PT-cust170630-4-30-2,12827311,customer,b7949e6f-4b8c-4d73-8227-b995fd3c7a29
dfsp1,cust170630-4-31-1,PT-cust170630-4-31-1,43512994,customer,d41367bb-18f3-4ecd-b80c-f5358d37ec62,dfsp2,cust170630-4-31-2,PT-cust170630-4-31-2,28144456,customer,a75f89b8-f48a-48de-9f7a-f5c260953ea1
dfsp1,cust170630-4-32-1,PT-cust170630-4-32-1,99214233,customer,6a337e4c-e832-48fa-8032-4f59f8732307,dfsp2,cust170630-4-32-2,PT-cust170630-4-32-2,9535743,customer,b6bf254b-8143-4e15-94bd-b77fcbd3e018
dfsp1,cust170630-4-33-1,PT-cust170630-4-33-1,99901601,customer,e8529977-52af-4765-9dfc-9efd3fe7cfa6,dfsp2,cust170630-4-33-2,PT-cust170630-4-33-2,4675765,customer,b3b8a915-479c-4578-8e92-38050ad25652
