senderDFSP,senderName,senderAccountName,senderID,senderRoleType,senderUUID,receiverDFSP,receiverName,receiverAccountName,receiverID,receiverRoleType,receiverUUID
dfsp1,70280011,70280011,70280011,customer,4ca71144-e193-4533-b766-d151b67f60ee,dfsp2,70280012,70280012,70280012,customer,81889b6d-e69c-41f0-bd24-6aacd86719a0
dfsp1,70280021,70280021,70280021,customer,425efe33-1093-416a-96fb-40a2c65c26e5,dfsp2,70280022,70280022,70280022,customer,900a332b-c845-4476-b503-36b2b3d25b87
dfsp1,70280031,70280031,70280031,customer,d85bb68e-9c90-4bb2-8869-9c888a075e2f,dfsp2,70280032,70280032,70280032,customer,c7093eff-bfc1-413e-a5f1-a4d9a09b1a0e
dfsp1,70280041,70280041,70280041,customer,db3594b4-bbac-4dd2-85d7-508d7897f621,dfsp2,70280042,70280042,70280042,customer,f6229983-b4f7-4a2d-af78-317a4a55db45
dfsp1,70280051,70280051,70280051,customer,11187e6f-0d85-4a3f-9640-74a85de15299,dfsp2,70280052,70280052,70280052,customer,327ea35c-095d-4319-ad3d-f0e218d2f311
dfsp1,70280061,70280061,70280061,customer,78de7604-b621-4967-98a9-358c6153246f,dfsp2,70280062,70280062,70280062,customer,2cf3639b-9f39-4eaf-9555-f0478eb5e956
dfsp1,70280071,70280071,70280071,customer,95885565-2ac1-4e52-947f-b1d2cbc1abe7,dfsp2,70280072,70280072,70280072,customer,106eaac9-6e66-4602-b939-2fc1c251597b
dfsp1,70280081,70280081,70280081,customer,f94820c1-8dcd-4752-99d7-c7dd5247366e,dfsp2,70280082,70280082,70280082,customer,ac8e85e6-b5db-4b08-8e5f-7426ae74b6c7
dfsp1,70280091,70280091,70280091,customer,d04e2bc7-2adb-47ad-8465-fec5aad77bc6,dfsp2,70280092,70280092,70280092,customer,da4b1f18-14ca-4503-859e-9806ad328bf6
dfsp1,70280101,70280101,70280101,customer,e529cd90-82ee-454c-b15f-03e31c4de43e,dfsp2,70280102,70280102,70280102,customer,13d4c5a5-5a1e-486e-877f-68ecff36301e
dfsp1,70280111,70280111,70280111,customer,7b52cd42-0758-4126-8027-79c12d4eef1d,dfsp2,70280112,70280112,70280112,customer,69d6b2e9-0575-42f7-997e-3ef0ef8d7e81
dfsp1,70280121,70280121,70280121,customer,7c74a191-f30c-4774-ba90-f717749c24e8,dfsp2,70280122,70280122,70280122,customer,3752f09e-3737-4f40-bd00-9ad4a05f38d0
dfsp1,70280131,70280131,70280131,customer,3ebc9eb5-eeee-4aaf-8818-9985edce8358,dfsp2,70280132,70280132,70280132,customer,b6b1074c-0ff3-4efb-b577-2481cdaef22a
dfsp1,70280141,70280141,70280141,customer,9b0b3bf1-934e-4fb1-a73b-fa0ca8d67996,dfsp2,70280142,70280142,70280142,customer,70d456d5-3c73-494f-acf4-f3663cbfc644
dfsp1,70280151,70280151,70280151,customer,669c6c2b-29e4-41d5-b0df-fcafde11d756,dfsp2,70280152,70280152,70280152,customer,ea688835-f622-4a86-88c1-f26a0abb505f
dfsp1,70280161,70280161,70280161,customer,6bd51ce9-2ae1-4692-adbd-7ba6ff5ac38d,dfsp2,70280162,70280162,70280162,customer,c0e5070d-1056-4491-8b3c-ffff38d971e6
dfsp1,70280171,70280171,70280171,customer,f1ff9c23-9c96-4d04-adfe-07072a68c9f4,dfsp2,70280172,70280172,70280172,customer,fd8857bd-e7db-4c15-a5e2-d68d95d2b256
dfsp1,70280181,70280181,70280181,customer,bb3f32be-8871-495c-8bb9-de05fe7bc667,dfsp2,70280182,70280182,70280182,customer,27dcba32-ab02-4fc1-a5e3-568d8e88ea18
dfsp1,70280191,70280191,70280191,customer,afbb2dfc-e7ae-4172-80cd-fd31b385e10b,dfsp2,70280192,70280192,70280192,customer,a30a0fd8-21e3-4df2-b7e9-65c43173da00
dfsp1,70280201,70280201,70280201,customer,aa3d892e-7f8c-4c05-bbfa-da700b043c81,dfsp2,70280202,70280202,70280202,customer,7fc3316d-6538-4068-b17b-4206d592bc99
dfsp1,70280211,70280211,70280211,customer,04064663-7fc6-4325-aff6-00e80cb94d24,dfsp2,70280212,70280212,70280212,customer,baa47410-10ff-40dc-891f-f1e2f0b65ac3
dfsp1,70280221,70280221,70280221,customer,282cdeec-71d3-4b5b-84ec-c78639c57fde,dfsp2,70280222,70280222,70280222,customer,013089b2-7e24-4a2c-bde6-3862daea885e
dfsp1,70280231,70280231,70280231,customer,7290d3a5-332d-41d8-9bde-d1b04debae5a,dfsp2,70280232,70280232,70280232,customer,253fe3fa-5bdb-4d3f-a634-13707e9b65a5
dfsp1,70280241,70280241,70280241,customer,66c8719d-13c9-4fb3-975b-33ac710d7b8b,dfsp2,70280242,70280242,70280242,customer,10b1cb1c-668d-4f46-9408-063be66d43f1
dfsp1,70280251,70280251,70280251,customer,c5e43d04-ce72-438d-bb0d-d889cb38dd43,dfsp2,70280252,70280252,70280252,customer,fab40d76-f2bc-4b04-bce3-a369e44f778a
dfsp1,70280261,70280261,70280261,customer,2eaa7bdb-faa3-44e6-881f-b27cb43cef81,dfsp2,70280262,70280262,70280262,customer,9b76ad09-3893-4248-a354-fd9dda7d473f
