"senderDFSP","senderName","senderAccountName","senderID","senderRoleType","senderUUID","receiverDFSP","receiverName","receiverAccountName","receiverID","receiverRoleType","receiverUUID"
dfsp1,70140011,70140011,70140011,customer,47c54c19-3fc5-48e5-83e6-b3bc73a13a4c,dfsp2,70140012,70140012,70140012,customer,9abb1771-ab45-4dfa-8c1c-65bb394e927c
dfsp1,70140021,70140021,70140021,customer,db04be3b-ee3a-4d52-8cd8-cbd656559abe,dfsp2,70140022,70140022,70140022,customer,a2e24d22-e6f9-439a-acf2-bd08ff3508fa
dfsp1,70140031,70140031,70140031,customer,450b0b15-cb38-472d-9350-979775317934,dfsp2,70140032,70140032,70140032,customer,8bf32618-b835-4fdb-be5f-373214d32737
dfsp1,70140041,70140041,70140041,customer,526b7d23-aa75-4ce4-ac20-39de8ddfa270,dfsp2,70140042,70140042,70140042,customer,7ab8f4d7-bd93-4576-94f8-105ab141e1ab
dfsp1,70140051,70140051,70140051,customer,a9321171-a5d2-4d02-a60c-2b6c7d0b23fa,dfsp2,70140052,70140052,70140052,customer,09d9b953-b905-4ba5-bb7f-bba2ca01df70
dfsp1,70140061,70140061,70140061,customer,7bf3c654-851d-4e65-b4d8-aad385956883,dfsp2,70140062,70140062,70140062,customer,4f0eb03d-d0fa-41ca-9569-efe89c110c25
dfsp1,70140071,70140071,70140071,customer,ebe3ce57-e49f-4530-b664-17da97a44f14,dfsp2,70140072,70140072,70140072,customer,5d1e57b7-a6f3-43b6-a197-07a1c63e52f8
dfsp1,70140081,70140081,70140081,customer,83c0da88-cfdb-4331-b6b7-ea4cfa6ae6f7,dfsp2,70140082,70140082,70140082,customer,d9bdefa0-15d4-4d7b-a822-87efdb9d5469
dfsp1,70140091,70140091,70140091,customer,ea2eee04-23c4-461d-847f-a8d6d6706e08,dfsp2,70140092,70140092,70140092,customer,8facfb79-b749-4e69-b017-36cb04c8be9e
dfsp1,70140101,70140101,70140101,customer,d791f860-7b02-42a1-a1a7-f7b46a3019e7,dfsp2,70140102,70140102,70140102,customer,ba291a03-c588-4005-8cf4-e9f2ef5f5f3e
dfsp1,70140111,70140111,70140111,customer,b51def90-f19c-4fc1-9d0f-5b152ead631f,dfsp2,70140112,70140112,70140112,customer,49d89258-5d2e-4405-b67e-bbdde0230a7f
dfsp1,70140121,70140121,70140121,customer,cc40bbc6-f9d7-4d43-b59e-084db785a1db,dfsp2,70140122,70140122,70140122,customer,da8275b1-8034-4295-87da-68ba4f06267a
dfsp1,70140131,70140131,70140131,customer,052aef42-fc2b-4a6a-b210-d77b4a870d2b,dfsp2,70140132,70140132,70140132,customer,ab505ce2-8e62-4833-993b-92603530ebc8
dfsp1,70140141,70140141,70140141,customer,e4c9e506-78c2-4803-af4a-f2eaa94e725e,dfsp2,70140142,70140142,70140142,customer,690915ee-b1e1-48b3-8772-392ff50f7c7d
dfsp1,70140151,70140151,70140151,customer,57e31388-d5d4-4064-9178-6a21716a5d7b,dfsp2,70140152,70140152,70140152,customer,8dd50153-7747-4007-b38e-f886cef8d1a6
dfsp1,70140161,70140161,70140161,customer,f0fc0237-6a58-4f6e-81ac-d3197781daf8,dfsp2,70140162,70140162,70140162,customer,08f97de7-6876-4162-9d5d-81f57db25ae7
dfsp1,70140171,70140171,70140171,customer,943323d4-f44e-44c4-9b9b-84d41696da01,dfsp2,70140172,70140172,70140172,customer,ea99bcbd-165e-48d7-a7d4-02def1cc3e30
dfsp1,70140181,70140181,70140181,customer,97b142ab-b729-4fe5-a3e6-1ed70346d9f1,dfsp2,70140182,70140182,70140182,customer,11159498-8a72-408a-9599-1caffb4ddc3c
dfsp1,70140191,70140191,70140191,customer,93a635f4-16a8-4bb0-839b-ff5280b97c65,dfsp2,70140192,70140192,70140192,customer,5799b37c-092f-42a8-a217-1fa8023845d1
dfsp1,70140201,70140201,70140201,customer,5137b070-a66d-4d16-99c8-9def4aa0dfc0,dfsp2,70140202,70140202,70140202,customer,7d2f4377-36c8-4e1f-a547-2c6e0acae7f4
dfsp1,70140211,70140211,70140211,customer,f8938f35-a4df-4793-b135-9e8e588295b9,dfsp2,70140212,70140212,70140212,customer,ec749439-e519-4157-ad9b-4b9e55203f98
dfsp1,70140221,70140221,70140221,customer,ce7d2e08-9e1b-4a3b-bdf6-f4b6c269ecf9,dfsp2,70140222,70140222,70140222,customer,97c37c5e-692c-43fd-8d7b-358bca05ad08
dfsp1,70140231,70140231,70140231,customer,5f2c05d7-7bc5-4750-923a-24f5485a486d,dfsp2,70140232,70140232,70140232,customer,491a9241-e181-44db-8d1b-e21b6afe8473
dfsp1,70140241,70140241,70140241,customer,877cc448-7af4-4c2f-91fc-87ab2edcaaf4,dfsp2,70140242,70140242,70140242,customer,80bf596d-4330-4511-bfa3-1d821441d035
dfsp1,70140251,70140251,70140251,customer,5fb7a21f-d5b1-496e-ae31-1fa487251c9b,dfsp2,70140252,70140252,70140252,customer,ad7596ca-626a-40c1-a824-7b2c98d5d0e6
dfsp1,70140261,70140261,70140261,customer,daa6ac69-fc6f-44a2-8fe5-7dca7b739cb7,dfsp2,70140262,70140262,70140262,customer,da1e69f0-4850-4519-aa0d-f48e309ffa55
dfsp1,70140271,70140271,70140271,customer,a9332aa8-5a88-483e-9685-f3976bc52ec9,dfsp2,70140272,70140272,70140272,customer,6b69981d-d4b4-42e7-a08e-72351b147fb3
dfsp1,70140281,70140281,70140281,customer,d20dd261-364d-4e39-9abe-286f9929a81d,dfsp2,70140282,70140282,70140282,customer,d3feed48-7360-4099-841b-5c3961bc83b1
dfsp1,70140291,70140291,70140291,customer,f1e02dfb-cd22-4261-8542-d72c71bf6498,dfsp2,70140292,70140292,70140292,customer,526c0bc0-1742-4536-adea-286fe6c75155
dfsp1,70140301,70140301,70140301,customer,7d2a084f-41f8-46a4-87ba-f6ab89fc099e,dfsp2,70140302,70140302,70140302,customer,0db22979-4829-404d-811b-7c83cfa888c5
dfsp1,70140311,70140311,70140311,customer,65ba5f89-afdc-4e61-83e3-ad99b0f35bb0,dfsp2,70140312,70140312,70140312,customer,75f764dd-f614-43aa-b63d-7d538c9442ed
dfsp1,70140321,70140321,70140321,customer,8991b966-8250-408d-bf44-18bfbce77c37,dfsp2,70140322,70140322,70140322,customer,cbe3e6a2-3ab3-4749-9793-886e9e900f50
dfsp1,70140331,70140331,70140331,customer,50964353-5630-4a29-8c9c-81488cfcc89b,dfsp2,70140332,70140332,70140332,customer,3c2cff00-b50e-4760-941f-605c560b22d2
dfsp1,70140341,70140341,70140341,customer,bdd64a73-5820-432c-aa4a-073f0b146116,dfsp2,70140342,70140342,70140342,customer,106adbc7-cd85-42dd-850b-dbc17e77012a
dfsp1,70140351,70140351,70140351,customer,2955feae-21b2-40b6-ac2f-ae8ea9a673f6,dfsp2,70140352,70140352,70140352,customer,cdd8ef81-1e4b-4082-b309-dd7adb9f0404
dfsp1,70140361,70140361,70140361,customer,b810bcfb-c851-4fec-ac9f-56aa77a236c8,dfsp2,70140362,70140362,70140362,customer,dd07fb55-40e5-4015-ac3a-9175d157fe3f
dfsp1,70140371,70140371,70140371,customer,b1c06954-e8cc-4320-bf2a-6f0631ae8295,dfsp2,70140372,70140372,70140372,customer,b29c2e21-a41c-4318-bfb3-ea9ff8d3e11e
