"senderDFSP","senderName","senderAccountName","senderID","senderRoleType","senderUUID","receiverDFSP","receiverName","receiverAccountName","receiverID","receiverRoleType","receiverUUID"
dfsp1,70130011,70130011,70130011,customer,7d96f327-08d3-496c-8d0f-edf330f8e338,dfsp2,70130012,70130012,70130012,customer,72cfbf89-cbff-4ee3-a486-e7517ee5a316
dfsp1,70130021,70130021,70130021,customer,9725fd80-99a9-43a7-a591-7b1cf29b69cf,dfsp2,70130022,70130022,70130022,customer,152a2b96-cdb7-4c59-84b8-a2968f5aa572
dfsp1,70130031,70130031,70130031,customer,d1af4384-e69a-4bf9-a12c-fbe21e4592d4,dfsp2,70130032,70130032,70130032,customer,0207ce60-2ef8-4f76-a2ec-0c56fe6b4c8d
dfsp1,70130041,70130041,70130041,customer,b7bc77bd-c963-4871-8ce7-d568e3435b6a,dfsp2,70130042,70130042,70130042,customer,e8d4bc3a-53bf-46c2-b8ec-7818284ab13e
dfsp1,70130051,70130051,70130051,customer,350c3f5b-77a5-4df6-a1d4-e31d1a8a6a64,dfsp2,70130052,70130052,70130052,customer,1f7d9707-0ce3-485e-8cd0-fa23c18cece5
dfsp1,70130061,70130061,70130061,customer,dc8d62ba-a569-49e8-be0f-aca4d281d44b,dfsp2,70130062,70130062,70130062,customer,543d61c8-68bf-4b4f-94fa-7ee87e2e8899
dfsp1,70130071,70130071,70130071,customer,81e624b6-c329-40f6-81c2-506e7e8b5e54,dfsp2,70130072,70130072,70130072,customer,d4edb16f-2227-46bc-b556-a2eb5a539ed4
dfsp1,70130081,70130081,70130081,customer,8d634f6e-9c09-463f-8bca-7ab1999b48c3,dfsp2,70130082,70130082,70130082,customer,37da848e-efdb-445e-bdbb-c012f9bcd8ee
dfsp1,70130091,70130091,70130091,customer,7eebdfb9-5d7a-4af1-9fdc-66246ee92920,dfsp2,70130092,70130092,70130092,customer,16e4cfea-1440-4b3f-9d2a-4a841a16cabe
dfsp1,70130101,70130101,70130101,customer,2ea5d130-2ef7-4ee7-888b-e5875b270372,dfsp2,70130102,70130102,70130102,customer,fcf8c7b3-42b0-4a0f-98c1-c73f4918b647
dfsp1,70130111,70130111,70130111,customer,8e8dbe6b-54c5-4ac1-8cee-582766bf17fa,dfsp2,70130112,70130112,70130112,customer,6016eb4a-2166-4c40-82c8-08cea52628d1
dfsp1,70130121,70130121,70130121,customer,9d549f42-ed11-4f2a-bc01-cf0105a77d5f,dfsp2,70130122,70130122,70130122,customer,95136768-7d3f-4e82-9d89-343f83fc9bb3
dfsp1,70130131,70130131,70130131,customer,ceb5e26d-ada3-43aa-8125-9df613033342,dfsp2,70130132,70130132,70130132,customer,3ca58ea0-3616-4a5c-b9cb-3ccf642bea99
dfsp1,70130141,70130141,70130141,customer,f4240521-2961-4686-82b8-908d8d43ea5a,dfsp2,70130142,70130142,70130142,customer,23982520-e692-49c1-92f4-296b98ca832a
dfsp1,70130151,70130151,70130151,customer,1efa433e-401f-443e-96d9-08ce2f29ce5f,dfsp2,70130152,70130152,70130152,customer,f5407b36-73fc-4d13-97db-cea7c1beca2c
dfsp1,70130161,70130161,70130161,customer,ba754099-4856-4aca-902f-345f960f5f0b,dfsp2,70130162,70130162,70130162,customer,bffcba5b-b1b5-4684-bb82-bc799c7fea42
dfsp1,70130171,70130171,70130171,customer,601421f9-c6ce-4fa9-9b4a-ceadde99522c,dfsp2,70130172,70130172,70130172,customer,4a56de78-95a4-4e5d-9a2f-8da36ce6a41a
dfsp1,70130181,70130181,70130181,customer,9ea4a8e1-774a-433c-bff0-61c4fcf981db,dfsp2,70130182,70130182,70130182,customer,c7fa9da6-6190-423d-8331-8663f69a87c9
dfsp1,70130191,70130191,70130191,customer,a94eb6ab-2ad3-4b07-9c37-01d320fa2f3a,dfsp2,70130192,70130192,70130192,customer,14c7e92c-9d82-451a-b1db-c57e3a9990a5
dfsp1,70130201,70130201,70130201,customer,07cffa04-a9dd-4876-9db7-7556ac94aca6,dfsp2,70130202,70130202,70130202,customer,70a77997-7031-47af-8d9a-00a0b1eddaa8
dfsp1,70130211,70130211,70130211,customer,c1258d3f-b794-4b66-8899-bc0b7bceb4d9,dfsp2,70130212,70130212,70130212,customer,ca3c0bc0-bfd5-401f-b049-3c390a57ace8
dfsp1,70130221,70130221,70130221,customer,f3d00f02-453b-442a-953e-ef8ed0a45a11,dfsp2,70130222,70130222,70130222,customer,25af46dc-eea4-405f-ac16-b7db663f6bbe
dfsp1,70130231,70130231,70130231,customer,d61f0d99-d01d-4daf-8365-3b7af61aa3f7,dfsp2,70130232,70130232,70130232,customer,bb04b1a2-1735-4c47-b814-25d7e1c61f24
dfsp1,70130241,70130241,70130241,customer,57edd58f-ae8a-43c6-8f15-2e905674b949,dfsp2,70130242,70130242,70130242,customer,0c0330e5-cd0d-483b-b470-c77c1a23a220
dfsp1,70130251,70130251,70130251,customer,7b57a90b-a3ec-4b81-8292-f6d8e9d7430a,dfsp2,70130252,70130252,70130252,customer,6e50cffe-604a-4a81-9108-63828618f456
dfsp1,70130261,70130261,70130261,customer,6ef70092-479f-4cc0-9860-84e34ce76786,dfsp2,70130262,70130262,70130262,customer,9a3861b0-2cc8-48d1-92fe-83c72241e132
dfsp1,70130271,70130271,70130271,customer,ef76fefe-87d1-4679-9062-41e61c2bd7ca,dfsp2,70130272,70130272,70130272,customer,a417a07f-ab88-49ac-8f4d-2fa87e73102b
dfsp1,70130281,70130281,70130281,customer,81922f37-fe8a-4431-be86-51430f12a78a,dfsp2,70130282,70130282,70130282,customer,90929364-a315-47e5-b592-c13284be771a
dfsp1,70130291,70130291,70130291,customer,db85dff3-ca5e-4e14-a9a2-ea9c1b22fb95,dfsp2,70130292,70130292,70130292,customer,bd945726-4623-4f47-b44d-315988cd4bde
dfsp1,70130301,70130301,70130301,customer,47979c37-92d9-45d1-8be6-1b1c557d4337,dfsp2,70130302,70130302,70130302,customer,153c6016-9461-446a-b3c2-ccd5e3a53686
dfsp1,70130311,70130311,70130311,customer,62f885c4-cee3-4332-ad99-a0e0a8194b99,dfsp2,70130312,70130312,70130312,customer,1cc6526d-556e-4e02-ad07-7005bfedb6d3
dfsp1,70130321,70130321,70130321,customer,6f9ec383-940e-404a-a54a-717439b2446d,dfsp2,70130322,70130322,70130322,customer,bfdb6e4f-b9e4-4fbd-8bab-8ca845d7ce33
dfsp1,70130331,70130331,70130331,customer,1d7fce86-d522-42b4-b102-a14bd6009903,dfsp2,70130332,70130332,70130332,customer,bdeca45f-e920-484b-8f5c-28582f0dde86
dfsp1,70130341,70130341,70130341,customer,1e8451c9-e614-4e97-8b77-89be999688b2,dfsp2,70130342,70130342,70130342,customer,e6bad8e2-f919-47f4-8750-69a5c3e7f351
dfsp1,70130351,70130351,70130351,customer,c1206cb6-97e3-4f99-909e-3a81ad883302,dfsp2,70130352,70130352,70130352,customer,37d5a3a4-6d0d-4489-92bd-cdacc9695b3f
dfsp1,70130361,70130361,70130361,customer,98889b64-8df7-461a-8045-f56e45ed21a1,dfsp2,70130362,70130362,70130362,customer,2cb5463f-bb74-4167-a898-026f1aba1746
dfsp1,70130371,70130371,70130371,customer,2bf0f771-ad04-475a-8f68-772489034886,dfsp2,70130372,70130372,70130372,customer,73e899b1-4634-4b35-924b-ca3cce12fd49
dfsp1,70130381,70130381,70130381,customer,f46493c8-b578-4ea2-9c5c-157bf6131130,dfsp2,70130382,70130382,70130382,customer,38a881ad-a177-4a8c-9b3a-c2673166f685
dfsp1,70130391,70130391,70130391,customer,064d5e01-aa92-4fcd-adbd-dd20a735ee0e,dfsp2,70130392,70130392,70130392,customer,563d90d0-ba9f-4fd2-9906-cb72b24882c9
