"senderDFSP","senderName","senderAccountName","senderID","senderRoleType","senderUUID","receiverDFSP","receiverName","receiverAccountName","receiverID","receiverRoleType","receiverUUID"
dfsp1,72420011,72420011,72420011,customer,f07e7bea-3e14-42b1-9b16-cf0c15942cc5,dfsp2,72420012,72420012,72420012,customer,3aa34858-3057-45fa-81fd-c1855489299d
dfsp1,72420021,72420021,72420021,customer,0003789a-05b9-4bd0-8c22-dc8135df4319,dfsp2,72420022,72420022,72420022,customer,4e0c7393-2124-430f-9196-f4c63ba45980
dfsp1,72420031,72420031,72420031,customer,9ecb47ba-e1dc-4887-af65-c33fda11575b,dfsp2,72420032,72420032,72420032,customer,470cae82-cd9b-4216-8615-ce69fd595351
dfsp1,72420041,72420041,72420041,customer,a3fddf43-404d-48fa-90c0-23f8f1bbbb05,dfsp2,72420042,72420042,72420042,customer,ce0c2dad-06d2-4cb7-8677-911c23ddb34a
dfsp1,72420051,72420051,72420051,customer,6cd2b876-fd26-4e37-8bc3-457d40fdbe74,dfsp2,72420052,72420052,72420052,customer,bb6ef72d-52b1-4d84-b701-6423ddbb9fe5
dfsp1,72420061,72420061,72420061,customer,ff3d5ddb-ec6e-4a5e-a4e1-838d28310162,dfsp2,72420062,72420062,72420062,customer,1808ad6b-4ba7-4307-a8db-b50a6cd1365f
dfsp1,72420071,72420071,72420071,customer,90cf87de-107e-4435-93f2-471825710700,dfsp2,72420072,72420072,72420072,customer,632ad386-51a2-4832-96c7-280c15cc27d1
dfsp1,72420081,72420081,72420081,customer,4b1ba666-7c03-4e9b-9703-7fe540fcd60f,dfsp2,72420082,72420082,72420082,customer,ff672011-a5a5-43dc-8dd2-ac304fd498db
dfsp1,72420091,72420091,72420091,customer,7a8760bd-ad5a-487e-81aa-b1d69323e8ad,dfsp2,72420092,72420092,72420092,customer,9d03cd68-e4a0-4995-a89f-0884c5ddaf82
dfsp1,72420101,72420101,72420101,customer,42f01e81-c14f-4dc2-bc6e-b89442616f91,dfsp2,72420102,72420102,72420102,customer,52026b60-5883-4374-93a8-2d332df17fe1
dfsp1,72420111,72420111,72420111,customer,f5603d75-dfb2-48f1-9f5b-29e3e8e5b52a,dfsp2,72420112,72420112,72420112,customer,467fc195-dd5d-46f8-bebc-15deae0d6244
dfsp1,72420121,72420121,72420121,customer,dd7cd304-7e0f-4e22-92f1-2e8edf4b104f,dfsp2,72420122,72420122,72420122,customer,6ae65afe-525f-4481-b2e9-cf555f826d86
dfsp1,72420131,72420131,72420131,customer,f8546f39-1c92-4e43-a80b-7475a2cfc37e,dfsp2,72420132,72420132,72420132,customer,1a577ad3-a2b5-425d-92a5-098cf7d05264
dfsp1,72420141,72420141,72420141,customer,07b1773c-1b5b-46b4-ba58-7a9705464e20,dfsp2,72420142,72420142,72420142,customer,6fa2f62e-2808-43c0-833e-9e11501da6b4
dfsp1,72420151,72420151,72420151,customer,f619a557-183b-4cbc-a622-d9c65e151eb4,dfsp2,72420152,72420152,72420152,customer,8da16269-e655-4fc5-8705-e3dcc35d897c
dfsp1,72420161,72420161,72420161,customer,aa05a25c-2d22-41ae-84eb-6367b3fe0f4b,dfsp2,72420162,72420162,72420162,customer,e8f95c72-e6ef-4210-b3e3-40e1fcadcae0
dfsp1,72420171,72420171,72420171,customer,263e1ac0-177d-4ea5-a4aa-a0775220d4a2,dfsp2,72420172,72420172,72420172,customer,a39ecb6e-81c8-484b-b080-9cfcc427e502
dfsp1,72420181,72420181,72420181,customer,6f5fa095-f460-4786-bd15-9fa13f225983,dfsp2,72420182,72420182,72420182,customer,7b2036e2-08eb-4076-ae7e-a73dd7ae5bc1
